,지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유,lat,long
34,경기도,(주)칠오 와동주유소,경기 안산시 단원구 순환로    ,S-OIL,031-413-5151,Y,0,1679,1789,0,37.3451542,126.8293261
35,경기도,지에스칼텍스(주)안산스타주유소,경기 안산시 단원구 달미로,GS칼텍스,031-414-5189,Y,1920,1689,1829,1659,37.3389666,126.813698
36,경기도,신안산주유소,경기 안산시 단원구 고잔로   ,SK에너지,031-486-2205,Y,0,1695,1835,0,37.3189813,126.8370065
37,경기도,(주)지티이엔알직영 서해주유소,경기 안산시 단원구 시흥대로   ,S-OIL,031-497-5148,N,0,1695,1835,0,37.3451966,126.7951297
38,경기도,현대오일뱅크㈜직영 안산공원셀프주유소,경기 안산시 단원구  광덕 로    ,현대오일뱅크,031-413-5051,Y,1999,1695,1825,0,0,0
39,경기도,대상주유소,경기 안산시 단원구 순환로    ,GS칼텍스,031-413-5189,N,0,1698,1838,1600,37.3451542,126.8293261
40,경기도,현대오일뱅크(주)직영 한양현대주유소,경기도 안산시 단원구  화정천서로    ,현대오일뱅크,031-413-5117,N,1929,1699,1839,1539,37.3196945,126.8208305
41,경기도,서안산주유소,경기 안산시 단원구 시흥대로,S-OIL,031-498-5181,N,0,1709,1839,0,37.3451966,126.7951297
42,경기도,대부그린주유소,경기 안산시 단원구 대부황금로    ,GS칼텍스,032-881-0055,N,0,1717,1857,1600,37.2911384,126.5784636
43,경기도,대지석유 선부주유소,경기도 안산시 단원구  선부로   ,S-OIL,031-402-5133,Y,0,1719,1849,0,37.3410162,126.8039068
44,경기도,현대오일뱅크㈜직영 안산중앙주유소,경기 안산시 단원구 화정로   ,현대오일뱅크,031-486-7547,N,0,1734,1855,1599,37.3314528,126.8200072
45,경기도,대부주유소,경기 안산시 단원구 대부황금로    ,SK에너지,032-885-5189,N,0,1736,1856,1600,37.2911384,126.5784636
46,경기도,작전주유소,경기 안산시 단원구 대부황금로    ,현대오일뱅크,032-882-5141,N,0,1765,1865,1600,37.2911384,126.5784636
47,경기도,초지스타주유소,경기 안산시 단원구 초지로    ,GS칼텍스,031-439-7451,Y,2149,1768,1897,0,37.2987193,126.8139737
48,경기도,신길중앙주유소,경기 안산시 단원구 삼일로   ,현대오일뱅크,031-493-1459,Y,0,1769,1899,1720,37.3352942,126.7827288
49,경기도,안산행복주유소,경기 안산시 단원구 시우로,자가상표,031-492-7019,Y,0,1775,1795,0,37.3006755,126.804979
50,경기도,동현주유소,경기 안산시 단원구 대선로,현대오일뱅크,032-888-9960,N,0,1778,1878,1600,37.2497853,126.5761707
51,경기도,삼원주유소,경기 안산시 단원구 목내로,GS칼텍스,031-491-0430,Y,0,1778,1868,0,37.3077099,126.7744513
52,경기도,케이비원대부도주유소,경기 안산시 단원구 대선로    ,SK에너지,032-888-5104,N,0,1778,1898,1600,37.2497853,126.5761707
53,경기도,(주)대지석유 산업주유소,경기 안산시 단원구 동산로   ,S-OIL,031-494-7355,Y,2196,1778,1878,1648,37.2976369,126.7846604
54,경기도,정진주유소,경기 안산시 단원구 대남로   ,현대오일뱅크,032-880-9874,N,0,1779,1879,1600,37.2151711,126.5692413
55,경기도,(주)세화주유소,경기 안산시 단원구 대부중앙로    ,S-OIL,032-886-3883,Y,0,1780,1879,1600,37.2419832,126.5869211
56,경기도,이마트24서비스 고잔주유소,경기 안산시 단원구 적금로    ,SK에너지,031-413-8076,Y,0,1798,1898,0,37.3195371,126.8260413
57,경기도,대성산업(주)안산공단주유소,경기 안산시 단원구 산단로,GS칼텍스,031-494-5133,N,0,1798,1898,1698,37.3438463,126.7950883
58,경기도,SK에너지(주)직영 새천년주유소,경기 안산시 단원구 정왕대로    ,SK에너지,031-494-5185,N,2097,1798,1898,1719,37.3351785,126.7555138
59,경기도,서안산IC주유소,경기 안산시 단원구 중앙대로    ,GS칼텍스,031-492-9380,N,0,1813,1976,1740,37.3176574,126.8155619
60,경기도,스마트허브주유소,경기 안산시 단원구 해봉로    ,GS칼텍스,031-492-7744,N,0,1815,1939,1740,37.3219981,126.7653989
61,경기도,현대오일뱅크㈜직영 동양주유소,경기 안산시 단원구 중앙대로    ,현대오일뱅크,031-494-3399,N,0,1817,1902,0,37.3176574,126.8155619
62,경기도,(주)이든 내주유소,경기 안산시 단원구 중앙대로,S-OIL,031-494-6811,N,2247,1818,1933,1730,37.3176574,126.8155619
63,경기도,(주)삼정주유소,경기 안산시 단원구 삼일로    ,현대오일뱅크,031-494-6270,Y,2266,1828,1939,1747,37.3352942,126.7827288
64,경기도,만해유업㈜ 만해주유소,경기 안산시 단원구 만해로   ,SK에너지,031-492-2500,Y,0,1847,1947,0,37.3281548,126.7509519
65,경기도,MTV스마트주유소,경기도 안산시 단원구 시화호수로   번길,GS칼텍스,031-491-5189,Y,0,1847,1977,1800,0,0
66,경기도,SK에너지(주)시화공단주유소,경기 안산시 단원구 번영로    ,SK에너지,031-498-0130,N,1998,1848,2048,1758,37.3231055,126.7399207
67,경기도,시화주유소,경기 안산시 단원구 대부황금로     ,현대오일뱅크,032-886-5755,N,0,1849,1949,0,37.2911384,126.5784636
68,서울특별시,지에스칼텍스(주) 대방주유소,서울 동작구 여의대방로,GS칼텍스,02-826-5145,N,1829,1669,1835,1650,37.5014098,126.9208774
69,서울특별시,창원이엔지주유소,서울 동작구 사당로   ,현대오일뱅크,02-825-5151,N,0,1708,1877,0,37.4953082,126.9566218
70,서울특별시,지에스칼텍스㈜직영 남성주유소,서울 동작구 동작대로    ,GS칼텍스,02-532-0606,Y,0,1714,1865,0,37.5045613,126.9803781
71,서울특별시,매일주유소,서울 동작구 상도로    ,S-OIL,02-817-4085,Y,0,1739,1939,1800,37.5006821,126.932255
72,서울특별시,현대오일뱅크㈜직영 신대방셀프주유소,서울 동작구 시흥대로    ,현대오일뱅크,02-832-7926,Y,1999,1739,1889,0,37.4858119,126.9040027
73,서울특별시,현대오일뱅크(주)직영 사당셀프주유소,서울 동작구 동작대로   ,현대오일뱅크,02-521-3618,Y,2169,1747,1899,0,37.5045613,126.9803781
74,서울특별시,현대오일뱅크(주)직영 동작주유소,서울 동작구 상도로    ,현대오일뱅크,02-817-9179,N,2049,1757,1909,0,37.5006821,126.932255
75,서울특별시,현대오일뱅크㈜직영 흑석동셀프주유소,서울 동작구 현충로    ,현대오일뱅크,02-815-0724,Y,1992,1772,1899,0,37.5022473,126.9775612
76,서울특별시,살피재주유소,서울 동작구 상도로,SK에너지,02-817-2559,N,0,1875,1985,0,37.5006821,126.932255
77,서울특별시,청원주유소,서울 마포구 월드컵북로    ,현대오일뱅크,02-325-5533,Y,2088,1698,1857,0,37.5589588,126.9174887
78,서울특별시,성산대교셀프주유소,서울 마포구 성산로,현대오일뱅크,02-323-0078,Y,0,1698,1857,1798,37.558405,126.8949685
79,서울특별시,마포시엠주유소,서울 마포구 월드컵북로  ,GS칼텍스,02-336-1687,N,0,1727,1857,0,37.5589588,126.9174887
80,서울특별시,성산주유소,서울 마포구 월드컵북로    ,SK에너지,02-373-3314,N,0,1727,1867,0,37.5589588,126.9174887
81,서울특별시,(주)안국에너지 망원동주유소,서울 마포구 월드컵로    ,SK에너지,02-334-0917,N,0,1758,1878,0,37.5596169,126.9069064
82,서울특별시,에스오일(주) 염리동주유소,서울 마포구 백범로    ,S-OIL,02-3272-5155,Y,0,1789,1899,0,37.5424849,126.9542078
83,서울특별시,에스에스오토셀프,서울 마포구 서강로   ,현대오일뱅크,02-336-5185,Y,2185,1789,1899,0,37.5552281,126.9372696
84,서울특별시,SK에너지 양지주유소,서울 마포구 마포대로   ,SK에너지,02-706-8955,N,2059,1799,1999,0,37.5403189,126.9471222
85,서울특별시,(주)만성상사 대흥주유소,서울 마포구 대흥로   ,SK에너지,02-3273-5151,N,2199,1819,1939,1781,37.5443405,126.9387171
86,서울특별시,용강주유소,서울 마포구 토정로,S-OIL,070-7795-4800,N,0,1829,1939,0,37.5453311,126.9195762
87,서울특별시,SK에너지(주) 안국주유소,서울 마포구 양화로,SK에너지,02-3144-1197,N,2089,1829,1999,0,37.5572088,126.9241038
88,서울특별시,마포주유소,서울 마포구 마포대로    ,S-OIL,02-701-3990,N,0,1999,2199,1899,37.5403189,126.9471222
89,서울특별시,중앙에너비스 동교지점,서울 서대문구 연희로   ,SK에너지,070-8707-4568,Y,2008,1705,1835,0,37.5809227,126.9361647
90,서울특별시,(주)창원이엔지 홍제지점,서울 서대문구 통일로    ,현대오일뱅크,02-379-0753,N,0,1709,1834,0,37.58578,126.9474
91,서울특별시,현대오일뱅크(주)직영 연세주유소,서울 서대문구 연희로,현대오일뱅크,02-337-8220,Y,1978,1709,1855,0,37.5809227,126.9361647
92,서울특별시,㈜우남에너지 문화사랑주유소,서울 서대문구 세검정로   ,S-OIL,02-395-4300,Y,0,1709,1899,1700,37.5965051,126.9536471
93,서울특별시,구도일주유소 두꺼비,서울 서대문구 성산로,S-OIL,02-336-0611,Y,0,1711,1841,1950,37.5601836,126.9361719
94,서울특별시,(주)미래아스팔트 신우주유소,서울 서대문구 가좌로,S-OIL,02-304-5522,Y,0,1711,1841,0,37.5797568,126.9286617
95,서울특별시,(주)가재울뉴타운주유소,서울 서대문구 모래내로,현대오일뱅크,070-8879-7864,Y,0,1711,1841,0,37.57917,126.93256
96,서울특별시,지에스칼텍스(주)홍제동주유소,서울 서대문구 통일로,GS칼텍스,02-736-3708,Y,1912,1712,1856,0,37.58578,126.9474
97,서울특별시,남정주유소,서울 서대문구 모래내로    ,GS칼텍스,02-305-9828,N,0,1718,1848,1800,37.57917,126.93256
98,서울특별시,현대오일뱅크㈜직영 독립문주유소,서울 서대문구 통일로    ,현대오일뱅크,02-735-0333,N,1999,1719,1864,0,37.58578,126.9474
99,서울특별시,(주)안국에너지 삼보셀프주유소,서울 서대문구 연희로   ,SK에너지,02-336-6151,Y,1988,1728,1868,0,37.5809227,126.9361647
100,서울특별시,삼미상사(주)서부주유소,서울 서대문구 성산로,SK에너지,02-334-4919,Y,0,1735,1865,0,37.5601836,126.9361719
101,서울특별시,광호주유소,서울 서대문구 연희로    ,SK에너지,02-395-7236,N,0,1738,1898,0,37.5809227,126.9361647
102,서울특별시,연희주유소,서울 서대문구 연희로      연희동,SK에너지,02-338-8045,N,2018,1738,1898,0,0,0
103,서울특별시,행촌제2주유소,서울 서대문구 성산로    ,SK에너지,02-365-5189,Y,2068,1768,1848,0,37.5601836,126.9361719
104,서울특별시,만남의광장주유소,서울 서초구 양재대로  길,알뜰(ex),02-573-7430,Y,0,1658,1779,0,0,0
105,서울특별시,에너지플러스허브 삼방주유소,서울 서초구 사평대로    ,GS칼텍스,02-536-5145,Y,1895,1720,1901,0,37.5006549,126.999802
106,서울특별시,지에스칼텍스(주)선천주유소,서울 서초구 동작대로    ,GS칼텍스,02-592-4915,N,1856,1721,1868,0,37.5045613,126.9803781
107,서울특별시,현대오일뱅크㈜직영 사평로주유소,서울 서초구 사평대로    ,현대오일뱅크,02-3481-2513,N,1970,1722,1857,0,37.5006549,126.999802
108,서울특별시,대성산업(주)직영 강남주유소,서울 서초구 반포대로    ,GS칼텍스,02-594-5987,Y,1942,1730,1869,0,37.512562,126.9975302
109,서울특별시,반포그린주유소,서울 서초구 서초중앙로    ,GS칼텍스,02-532-5147,Y,1905,1730,1911,0,37.5031307,127.0112106
110,서울특별시,현대오일뱅크(주)직영 팔레스주유소,서울 서초구 사평대로    ,현대오일뱅크,02-720-0020,N,1970,1730,1869,0,37.5006549,126.999802
111,서울특별시,한독주유소,서울 서초구 방배로    ,GS칼텍스,02-3477-6127,Y,1970,1730,1857,0,37.4961653,126.9883078
112,서울특별시,신반포주유소,서울 서초구 사평대로   ,SK에너지,02-533-5151,Y,1970,1730,1857,0,37.5006549,126.999802
113,서울특별시,현대오일뱅크(주)직영 방배현대주유소,서울 서초구 동작대로    ,현대오일뱅크,02-534-0051,N,1970,1737,1869,1700,37.5045613,126.9803781
114,서울특별시,(주)대농석유 남태령주유소,서울 서초구 과천대로    ,SK에너지,02-587-0895,Y,0,1745,1885,0,37.4705416,126.9839545
115,서울특별시,대성산업(주)직영 터미널(고속)주유소,서울 서초구 신반포로    ,GS칼텍스,02-535-3001,N,1954,1750,1931,1700,37.5019024,126.989635
116,서울특별시,에쓰오일(주)직영 오토테크주유소,서울특별시 서초구  효령로    ,S-OIL,02-585-5189,Y,1959,1759,1889,0,37.4768413,126.9863962
117,서울특별시,현대오일뱅크(주)직영 서초제일주유소,서울 서초구 사임당로    ,현대오일뱅크,02-587-6080,N,1970,1762,1889,0,37.4922129,127.0273037
118,서울특별시,극동유화(주) 전당앞주유소,서울 서초구 남부순환로     ,S-OIL,02-6080-0516,Y,1973,1765,1885,0,37.484155,127.0309417
119,서울특별시,서초꽃마을주유소,서울 서초구 반포대로   ,GS칼텍스,02-523-5551,Y,1985,1765,1895,0,37.512562,126.9975302
120,서울특별시,(주)한미석유 서초주유소,서울 서초구 반포대로   ,GS칼텍스,02-582-5198,Y,1985,1765,1895,0,37.512562,126.9975302
121,서울특별시,대성석유(주)연일주유소,서울 서초구 남부순환로,GS칼텍스,02-3471-5151,N,1996,1776,1898,1800,37.484155,127.0309417
122,서울특별시,말죽거리주유소,서울 서초구 남부순환로     ,GS칼텍스,02-579-9933,N,0,1776,1896,1755,37.484155,127.0309417
123,서울특별시,태봉셀프주유소,서울 서초구 태봉로    ,SK에너지,02-571-8000,Y,0,1793,1907,0,37.4617976,127.0217699
124,서울특별시,양재주유소,서울 서초구 바우뫼로,SK에너지,02-577-1621,N,2098,1805,1898,0,37.4781247,127.0386051
125,서울특별시,현대오일뱅크㈜직영 양재현대주유소,서울 서초구 마방로,현대오일뱅크,02-579-8429,N,2098,1805,1898,1700,37.4782093,127.0445122
126,서울특별시,지에스칼텍스(주)남서울주유소,서울 서초구 나루터로   ,GS칼텍스,02-542-1517,N,1959,1809,1901,1700,37.5150268,127.0162589
127,서울특별시,헌릉로주유소,서울 서초구 헌릉로    ,S-OIL,02-2058-3224,Y,1999,1819,1949,0,37.4609887,127.0505938
128,서울특별시,대신석유(주)대우주유소,서울 서초구 양재대로    ,SK에너지,02-572-0567,Y,0,1829,1917,0,37.4601375,127.0247428
129,서울특별시,(주)홈런주유소,서울 서초구 양재대로 길       ,S-OIL,02-577-5151,Y,0,1858,1958,0,0,0
130,서울특별시,방배동주유소,서울 서초구 효령로   ,SK에너지,02-584-2086,N,1998,1893,1991,0,37.4768413,126.9863962
131,서울특별시,대신석유㈜서원주유소,서울 서초구 반포대로    ,SK에너지,02-599-3657,N,2298,2178,2198,0,37.512562,126.9975302
132,서울특별시,양재최고주유소,서울 서초구 매헌로   ,S-OIL,02-2057-5189,N,0,2395,2395,0,37.468619,127.0365095
133,서울특별시,(주)선문에너지 중앙주유소,서울특별시 서초구  바우뫼로    ,S-OIL,02-575-5110,N,2579,2398,2418,1850,37.4781247,127.0386051
134,서울특별시,(주)서울에너지 직영,서울 성동구 천호대로    ,S-OIL,02-3390-4338,Y,0,1676,1809,0,37.5595955,127.07311
135,서울특별시,현대오일뱅크㈜직영 효진주유소,서울 성동구 동일로,현대오일뱅크,02-464-7252,N,1988,1679,1829,0,37.5393878,127.0623425
136,서울특별시,정호주유소,서울 성동구 고산자로    ,자가상표,02-2297-9442,N,0,1695,1835,0,37.5393546,127.0354803
137,서울특별시,KLP제2주유소,서울 성동구 동일로    ,현대오일뱅크,02-465-5182,Y,0,1695,1885,0,37.5393878,127.0623425
138,서울특별시,현대오일뱅크(주) 성동셀프주유소,서울 성동구 마장로    ,현대오일뱅크,02-2299-7333,Y,2085,1699,1829,0,37.5681502,127.046012
139,서울특별시,지에스칼텍스㈜ 도루코주유소,서울 성동구 아차산로,GS칼텍스,02-463-6919,Y,1930,1708,1855,1421,37.5436308,127.0589921
140,서울특별시,아이콘주유소,서울 성동구 고산자로    ,S-OIL,02-2291-5189,N,0,1718,1848,0,37.5393546,127.0354803
141,서울특별시,SK에너지(주) 군자동주유소,서울 성동구 천호대로    ,SK에너지,02-2244-4945,N,1969,1729,1859,0,37.5595955,127.07311
142,서울특별시,삼우주유소,서울 성동구 천호대로,SK에너지,02-2245-8974,N,1968,1749,1879,0,37.5595955,127.07311
143,서울특별시,kh에너지(주)성수만세주유소,서울 성동구 왕십리로,SK에너지,02-499-8223,Y,2118,1818,1938,0,37.5515075,127.043951
144,서울특별시,SK에너지(주) 성수주유소,서울 성동구 뚝섬로    ,SK에너지,02-467-7240,N,1989,1849,1969,0,37.5394111,127.0529402
145,서울특별시,SK세원2주유소,서울 성동구 광나루로    ,SK에너지,02-462-5665,N,2270,1875,1998,0,37.5480553,127.0627276
146,서울특별시,금호주유소,서울 성동구 금호로   ,GS칼텍스,02-2297-0066,N,2196,1998,2094,1920,37.5466623,127.0252149
147,서울특별시,동일주유소,서울 성동구 광나루로    ,현대오일뱅크,02-461-7100,N,2296,2035,2149,1625,37.5480553,127.0627276
148,서울특별시,(주)옥수하이웨이스테이션,서울 성동구 독서당로    ,GS칼텍스,02-2282-5151,N,2389,2189,2298,0,37.5543474,127.0340467
149,서울특별시,청계로주유소,서울 성동구 청계천로    ,SK에너지,02-2294-4225,N,0,2198,2297,1995,37.5706557,127.0337385
150,서울특별시,원천주유소,서울 성북구 돌곶이로    ,알뜰주유소,070-4063-1057,N,0,1669,1793,0,37.6101243,127.0577613
151,서울특별시,SK에너지(주) 드림랜드주유소,서울 성북구 월계로    ,SK에너지,02-916-9906,N,1893,1673,1833,1650,37.613186,127.0376399
152,서울특별시,장위주유소,서울 성북구 화랑로    ,S-OIL,02-6498-5189,Y,0,1675,1805,0,37.6023865,127.0401387
153,서울특별시,중앙에너비스 종암지점,서울 성북구 종암로,SK에너지,070-8707-4565,Y,0,1675,1805,0,37.598594,127.0346107
154,서울특별시,이케이에너지㈜ 강산주유소,서울 성북구 보문로   ,GS칼텍스,02-953-1448,Y,0,1675,1805,1650,37.588913,127.0166395
155,서울특별시,이케이에너지(주) 강산제2주유소,서울 성북구 보국문로,현대오일뱅크,02-942-1448,Y,1945,1675,1805,0,37.6098532,127.009535
156,서울특별시,(주)삼표에너지 정릉주유소,서울 성북구 보국문로   ,GS칼텍스,02-914-6556,Y,1945,1675,1805,1650,37.6098532,127.009535
157,서울특별시,신동방주유소,서울 성북구 월계로   ,S-OIL,02-918-5151,Y,2167,1675,1805,0,37.613186,127.0376399
158,서울특별시,(주)성북주유소,서울 성북구 보문로,현대오일뱅크,02-928-4900,Y,0,1675,1805,0,37.588913,127.0166395
159,서울특별시,지에스칼텍스(주) 종암주유소,서울 성북구 종암로    ,GS칼텍스,02-921-7785,Y,1951,1675,1815,0,37.598594,127.0346107
160,서울특별시,(주)신용 구도일주유소화랑로,서울 성북구 화랑로,S-OIL,02-963-0051,Y,0,1683,1813,0,37.6023865,127.0401387
161,서울특별시,현대오일뱅크㈜직영 장삼주유소,서울 성북구 한천로    ,현대오일뱅크,02-909-0314,Y,2043,1685,1815,0,37.6218796,127.0518597
162,서울특별시,현대오일뱅크㈜직영 고대셀프주유소,서울 성북구 종암로   ,현대오일뱅크,02-912-5151,Y,1965,1685,1815,0,37.598594,127.0346107
163,서울특별시,㈜명연에너지 효성주유소,서울 성북구 화랑로,GS칼텍스,02-942-5150,N,2135,1685,1815,0,37.6023865,127.0401387
164,서울특별시,우리주유소,서울 성북구 화랑로,SK에너지,02-969-5185,Y,0,1687,1827,0,37.6023865,127.0401387
165,서울특별시,현대오일뱅크㈜직영 북악셀프주유소,서울 성북구 정릉로    ,현대오일뱅크,02-911-5189,Y,2292,1687,1827,0,37.6025191,127.0191194
166,서울특별시,재정제2주유소 길음지점,서울 성북구 삼양로   ,현대오일뱅크,02-980-1311,N,0,1709,1839,1650,37.60901,127.02301
167,서울특별시,현대오일뱅크㈜직영 아리랑주유소,서울 성북구 아리랑로   ,현대오일뱅크,02-941-5189,N,1996,1717,1847,1773,37.5962462,127.0154874
168,서울특별시,동일주유소,서울특별시 성북구  보문로   ,S-OIL,02-923-8484,Y,2135,1725,1865,0,37.588913,127.0166395
169,서울특별시,지에스칼텍스㈜ 세창주유소,서울 성북구 동소문로,GS칼텍스,02-988-2491,Y,1953,1726,1864,1441,37.6073574,127.0285694
170,서울특별시,지에스칼텍스㈜ 화랑주유소,서울 성북구 화랑로,GS칼텍스,02-942-5152,N,0,1728,1862,1604,37.6023865,127.0401387
171,서울특별시,신방주유소,서울 성북구 안암로    ,S-OIL,02-922-5151,N,0,1739,1869,0,37.5825384,127.0293181
172,서울특별시,삼선주유소,서울 성북구 창경궁로,S-OIL,02-766-5105,Y,2197,1747,1845,0,37.5877331,127.004339
173,서울특별시,위례제일주유소,서울 송파구 위례서로,S-OIL,02-408-9951,Y,0,1683,1824,0,37.4743003,127.1373029
174,서울특별시,한강에너지(주)퍼스트주유소,서울 송파구 삼학사로   ,SK에너지,02-422-2834,Y,1899,1683,1824,0,37.5029214,127.0970217
175,서울특별시,위례드림주유소,서울시 송파구  위례중앙로,S-OIL,02-404-5189,Y,1843,1683,1824,0,37.4743031,127.1371283
176,서울특별시,남성대주유소,서울 송파구 송파대로   ,SK에너지,02-409-2211,Y,0,1698,1853,0,37.5168331,127.0974941
177,서울특별시,완불주유소,서울 송파구 송파대로  ,SK에너지,02-3402-2900,Y,1904,1718,1883,0,37.5168331,127.0974941
178,서울특별시,상아주유소,서울 송파구 거마로,S-OIL,02-409-8251,Y,0,1723,1833,1600,37.4934449,127.1445757
179,서울특별시,지에스칼텍스(주)스마트위례주유소,서울 송파구 위례중앙로   ,GS칼텍스,02-409-5185,Y,1838,1728,1894,0,37.4743031,127.1371283
180,서울특별시,지에스칼텍스(주)가든파이브주유소,서울 송파구 탄천동로,GS칼텍스,02-409-5145,Y,1878,1728,1894,0,37.5105038,127.0706573
181,서울특별시,현대오일뱅크㈜직영 잠실셀프주유소,서울 송파구 송파대로    ,현대오일뱅크,02-417-7111,Y,1928,1734,1880,1690,37.5168331,127.0974941
182,서울특별시,방이주유소,서울 송파구 위례성대로  길   ,SK에너지,02-424-3051,N,0,1738,1880,0,0,0
183,서울특별시,(주)뉴명성산업 남성주유소,서울 송파구 백제고분로    ,현대오일뱅크,02-423-5128,N,0,1738,1880,0,37.5038815,127.1035123
184,서울특별시,대성주유소,서울 송파구 마천로    ,SK에너지,02-431-1991,N,0,1738,1858,1598,37.5049362,127.1341029
185,서울특별시,백제고분로주유소,서울 송파구 오금로    ,SK에너지,02-2202-4050,Y,1928,1738,1880,0,37.50434,127.12459
